Open_time,Open,High,Low,Close,Volume,QV,NOT,TBB,TBQ,Volatility,target
2021-05-13 09:00:00,1.6625,1.68,1.6623,1.6737,2878032.99,4821303.941017,5125,1702161.28,2851617.046936,0.6736842105263083,0
2021-05-13 09:05:00,1.6738,1.679,1.6686,1.6733,2723854.15,4558140.812529,4318,1516726.12,2538138.522573,-0.029872147209938162,0
2021-05-13 09:10:00,1.6734,1.6749,1.6496,1.6514,3653708.06,6075417.34485,5561,1625405.03,2702821.507536,-1.3146886578223986,1
2021-05-13 09:15:00,1.6515,1.6708,1.65,1.6693,3313388.75,5505110.268277,5374,1797877.23,2987432.102718,1.0778080532848948,0
2021-05-13 09:20:00,1.669,1.6728,1.6587,1.6668,3478711.17,5794350.491224,5799,1736515.81,2892649.093479,-0.13181545835829714,0
2021-05-13 09:25:00,1.6675,1.6875,1.6668,1.6762,4172523.57,7006573.899891,7735,2103749.06,3532631.8067559996,0.5217391304347784,2
2021-05-13 09:30:00,1.6761,1.6992,1.6761,1.6975,4470097.87,7558222.775834,7768,2421220.14,4093428.8970480002,1.2767734622039308,0
2021-05-13 09:35:00,1.6975,1.6994,1.6795,1.6804,3113599.82,5266809.780067,5463,1688152.6,2856068.811947,-1.007363770250375,0
2021-05-13 09:40:00,1.6796,1.6811,1.6544,1.6565,5075664.95,8466784.036426,7896,2526029.52,4214113.954333999,-1.3753274589187845,0
2021-05-13 09:45:00,1.6567,1.6642,1.6306,1.6328,5514573.85,9066978.505169,10152,2466825.09,4057060.2076769997,-1.4426269089153156,1
2021-05-13 09:50:00,1.6335,1.635,1.595,1.6104,11045349.65,17810147.909936,20322,4974760.27,8025339.849339999,-1.4141414141414081,0
2021-05-13 09:55:00,1.6102,1.6277,1.5973,1.6245,6440895.96,10404105.301661,11169,3270026.88,5282255.015782,0.8880884362191019,0
2021-05-13 10:00:00,1.6247,1.652,1.6238,1.6457,5531406.04,9089008.150494,8649,2875672.81,4723335.033822,1.2925463162429929,0
2021-05-13 10:05:00,1.6455,1.672,1.6412,1.6707,4793324.5,7956118.31695,9195,2610825.56,4333067.8736620005,1.5314494074749383,2
2021-05-13 10:10:00,1.6709,1.6762,1.6632,1.6734,5326173.67,8900331.695057001,8097,2215379.22,3703197.7788110003,0.14961996528816487,1
2021-05-13 10:15:00,1.6738,1.695,1.6735,1.6851,4137132.5,6979374.4239,11512,2217278.77,3741170.8055199995,0.675110526944682,2
2021-05-13 10:20:00,1.6854,1.689,1.6637,1.6677,4045685.46,6774160.429207,7799,1852345.11,3101226.080317,-1.0501957992168058,1
2021-05-13 10:25:00,1.6673,1.6925,1.6641,1.6888,3328667.23,5604046.584376,6802,1886392.43,3177123.71327,1.2895099862052464,0
2021-05-13 10:30:00,1.6886,1.6887,1.6606,1.6662,4204451.33,7027111.960124001,8067,1993162.82,3330945.56838,-1.3265426980931063,0
2021-05-13 10:35:00,1.6662,1.6907,1.6656,1.6877,4114579.5,6913991.435759,7384,2217114.73,3725710.448639,1.290361301164331,0
2021-05-13 10:40:00,1.6875,1.7248,1.6825,1.7247,8386798.35,14304740.437085,19853,4565842.74,7784650.554244,2.2044444444444378,0
2021-05-13 10:45:00,1.7248,1.745,1.7231,1.7379,12616499.01,21907681.361728,23010,6056325.07,10514419.193203,0.7595083487940566,0
2021-05-13 10:50:00,1.7379,1.75,1.7326,1.7391,9971966.91,17370233.197042,16852,5396742.67,9402232.549302,0.06904885206283963,0
2021-05-13 10:55:00,1.7387,1.8,1.7335,1.7983,21705875.03,38482949.654883005,43206,12760871.67,22633199.6855,3.427848392477144,0
2021-05-13 11:00:00,1.7985,1.8,1.7522,1.7913,23157410.7,41082991.881268,36141,11978286.13,21251548.202694,-0.4003336113427909,0
2021-05-13 11:05:00,1.7912,1.8543,1.7812,1.7929,41267261.69,75231624.759107,81958,24347722.08,44422776.585639,0.09490844126842536,2
2021-05-13 11:10:00,1.7913,1.84,1.7913,1.82,18888357.98,34392635.27816,30768,9981402.51,18174990.469397,1.6021883548261135,0
2021-05-13 11:15:00,1.8199,1.85,1.8199,1.8212,18003169.19,33072158.465415,27911,8206023.84,15077853.911651999,0.07143249629099713,0
2021-05-13 11:20:00,1.8214,1.8231,1.7733,1.7783,18937831.17,33991285.272857,31084,8889958.55,15958048.753807,-2.3663116284176957,0
2021-05-13 11:25:00,1.7782,1.8043,1.7677,1.7817,11607417.5,20730082.053178,18356,6151225.46,10990065.887877,0.19682825328984696,0
2021-05-13 11:30:00,1.7816,1.7931,1.7568,1.7612,10126584.26,17917327.415823,16397,4854586.78,8591685.423438,-1.1450381679389297,1
2021-05-13 11:35:00,1.7609,1.8,1.7567,1.7854,10995989.37,19581481.74055,19064,6682783.93,11902914.399613,1.3913339769436193,0
2021-05-13 11:40:00,1.7847,1.791,1.775,1.7864,5742787.28,10241160.266455,9647,2768666.14,4938362.213211,0.09525410433126212,0
2021-05-13 11:45:00,1.7864,1.7934,1.7741,1.7917,4632475.81,8255429.274611,8673,2659346.56,4740283.210186,0.29668607254814616,0
2021-05-13 11:50:00,1.7914,1.8142,1.7857,1.8137,4574360.04,8213796.974494999,9955,2679352.57,4813977.131653,1.2448364407725792,0
2021-05-13 11:55:00,1.8136,1.8138,1.786,1.8066,6906990.31,12431647.799727,13638,3095325.48,5569629.2708209995,-0.38597265108072987,0
2021-05-13 12:00:00,1.8069,1.8311,1.7963,1.8256,8853946.47,16082814.653526,20060,4729797.24,8595216.938803999,1.034921689080743,0
2021-05-13 12:05:00,1.8257,1.87,1.825,1.867,16646911.28,30723058.172837,35826,10827587.62,19990063.71518,2.2621460261817323,2
2021-05-13 12:10:00,1.867,1.88,1.8459,1.8562,22671912.39,42299984.362434,36502,12198439.43,22771732.911425,-0.5784681306909438,0
2021-05-13 12:15:00,1.8562,1.8575,1.8324,1.85,10838500.17,20025154.074249,16687,5253122.18,9706751.830755001,-0.33401573106346205,0
2021-05-13 12:20:00,1.8502,1.8503,1.8224,1.8398,10305065.11,18910338.715668,16105,4804043.87,8814874.865883,-0.562101394443842,0
2021-05-13 12:25:00,1.8398,1.8437,1.814,1.8306,8567656.73,15652533.181408,14237,4076521.83,7448776.438011,-0.5000543537341068,0
2021-05-13 12:30:00,1.8306,1.8334,1.8141,1.8281,5176878.25,9431077.802514,10118,2532730.84,4613634.983701,-0.13656724571178558,0
2021-05-13 12:35:00,1.828,1.8284,1.8135,1.8185,4318061.28,7865640.595261,7590,2014116.21,3669494.791845,-0.5196936542669619,1
2021-05-13 12:40:00,1.8193,1.8329,1.8105,1.8113,4511801.14,8225653.501669,8066,2032840.57,3707841.128927,-0.4397295663167157,0
2021-05-13 12:45:00,1.811,1.8192,1.7937,1.8017,8731092.66,15750105.427858999,14213,3277279.57,5914637.048941,-0.5135284373274359,0
2021-05-13 12:50:00,1.8021,1.8384,1.7982,1.837,5563817.89,10112278.686138,9712,3192138.04,5800983.5693580005,1.9366294878197616,2
2021-05-13 12:55:00,1.8374,1.8385,1.8177,1.8337,4738867.4,8664048.160644999,7418,2588570.69,4733881.437983,-0.20137150321104905,0
2021-05-13 13:00:00,1.8338,1.8364,1.8072,1.8107,6322334.17,11502915.302368,10572,2972033.94,5407763.827712,-1.2596793543461728,0
2021-05-13 13:05:00,1.8111,1.8247,1.8094,1.8137,3224439.76,5853293.275624,7270,1507173.82,2735829.173519,0.14355916293965865,0
2021-05-13 13:10:00,1.8137,1.8230000000000002,1.8079,1.8127,3724566.5,6759446.240657,7904,2044413.86,3711058.220273,-0.05513591001820102,0
2021-05-13 13:15:00,1.8125,1.8186,1.7837,1.7865,7765288.26,13956305.828349,15096,3704243.04,6657263.019226001,-1.434482758620691,1
2021-05-13 13:20:00,1.7864,1.8019,1.7857,1.7938,4486608.88,8058706.242346001,10327,2679853.67,4813811.0897160005,0.4142409314823149,0
2021-05-13 13:25:00,1.7947,1.8123,1.7924,1.8105,3491648.55,6292243.187045,7754,1872893.69,3375299.28805,0.8803699782693507,0
2021-05-13 13:30:00,1.8105,1.8276,1.798,1.8244,4341815.8,7870535.865197999,9536,2590092.37,4696353.8038220005,0.7677437172051932,2
2021-05-13 13:35:00,1.8244,1.83,1.8111,1.8129,3898988.16,7101054.139477001,8984,2250990.16,4102114.401817,-0.6303442227581706,0
2021-05-13 13:40:00,1.8129,1.8172,1.8053,1.8119,3259769.62,5904885.501297,7116,1778564.76,3222651.19063,-0.0551602404986425,0
2021-05-13 13:45:00,1.8119,1.8214,1.8112,1.8143,3309605.81,6013538.357448,7194,1840182.24,3343955.659248,0.1324576411501715,0
2021-05-13 13:50:00,1.8142,1.815,1.8022,1.8056,1935477.89,3497684.437106,5393,893970.31,1615521.7124700001,-0.4740381435343369,0
2021-05-13 13:55:00,1.8057,1.8065,1.7986,1.8003,3542420.51,6386171.805149,5878,1645402.36,2966649.1463389997,-0.29905299883702,1
2021-05-13 14:00:00,1.8002,1.8208,1.8002,1.8161,3907106.11,7077017.736447999,9988,2513882.31,4552721.09534,0.8832351960893248,0
2021-05-13 14:05:00,1.8165,1.825,1.8052,1.8078,3140290.9,5702467.346737,9113,1537144.73,2792053.857923,-0.4789430222956196,0
2021-05-13 14:10:00,1.808,1.8228,1.8035,1.8204,3040474.48,5508649.1263419995,8363,1704541.67,3088374.580761,0.6858407079646001,0
2021-05-13 14:15:00,1.8201,1.84,1.8125,1.8337,4649358.93,8501742.353416,11468,2319478.2,4240724.348293,0.7472116916652962,2
2021-05-13 14:20:00,1.8336,1.8519999999999999,1.8282,1.8495,6130949.51,11294266.451649,16520,3806975.78,7013505.147361,0.8671465968586402,0
2021-05-13 14:25:00,1.8495,1.8498,1.8301,1.8354,5817385.1,10689384.14585,13127,2447424.69,4497193.6167089995,-0.7623682076236822,0
2021-05-13 14:30:00,1.8354,1.84,1.8134,1.8244,4622065.24,8441596.807888001,10864,2150546.61,3927224.4095489997,-0.5993243979513948,1
2021-05-13 14:35:00,1.8243,1.8376,1.8142,1.8343,4863493.84,8864409.955103,10535,2334241.83,4255139.841225,0.5481554568875737,0
2021-05-13 14:40:00,1.8352,1.8419999999999999,1.8277,1.8356,4097749.62,7519401.099788001,9675,1988557.72,3649351.300403,0.021795989537922618,0
2021-05-13 14:45:00,1.8357,1.8657,1.8307,1.8627,8190450.12,15173541.638877999,21937,4504785.1,8347598.3617630005,1.4708285667592695,2
2021-05-13 14:50:00,1.8625,1.8831,1.8528,1.8741,12036246.44,22509318.592834,28356,6871014.31,12856650.576586999,0.6228187919463116,0
2021-05-13 14:55:00,1.8742,1.885,1.8609,1.8646,9439719.47,17671280.327922,17995,4925025.5,9216721.113667,-0.5122185465798769,0
2021-05-13 15:00:00,1.8651,1.8713,1.8329,1.8341,9328121.3,17258071.800336,15203,4461405.26,8256373.277339,-1.6621092702804092,1
2021-05-13 15:05:00,1.8342,1.8538,1.8325,1.8492,4502204.29,8301774.745372,9553,2235375.71,4122118.5072459998,0.8177952240758861,0
2021-05-13 15:10:00,1.8487,1.874,1.8468,1.8674,4969326.85,9257224.215914,10991,2977819.02,5546559.980158,1.011521609779842,0
2021-05-13 15:15:00,1.8673,1.8989,1.8536,1.891,11620113.77,21877078.346789002,28030,6956807.41,13104374.877878,1.2692122315642935,0
2021-05-13 15:20:00,1.8915,1.9091,1.89,1.8998,15313887.65,29090588.51784,28409,9254053.28,17579974.484384,0.4388051810732209,0
2021-05-13 15:25:00,1.8998,1.946,1.8884,1.9436,23419165.87,44981847.957981,45816,14291561.52,27468916.827144,2.3055058427202897,0
2021-05-13 15:30:00,1.9441,1.9448,1.9053,1.9108,16050935.6,30828664.809116,26891,7577635.67,14554103.83474,-1.7128748521166546,0
2021-05-13 15:35:00,1.9109,1.9436,1.9091,1.9285,14961772.8,28840166.095429998,21209,7655993.6,14765702.642103,0.9210319744622985,2
2021-05-13 15:40:00,1.9287,1.9599,1.9225,1.9536,17467976.77,33956177.432675,30730,10328652.9,20088534.108166,1.2910250427749221,0
2021-05-13 15:45:00,1.9536,1.9545,1.9105,1.9274,18069026.45,34854141.263279,31470,8441335.25,16283137.859292,-1.3411138411138408,0
2021-05-13 15:50:00,1.9272,1.9354,1.9079,1.9115,10811073.1,20763153.110105,16078,5110361.66,9815960.744877001,-0.8146533831465362,0
2021-05-13 15:55:00,1.9109,1.9329,1.91,1.9324,7958253.21,15295745.133801999,12009,4485211.69,8621385.299754,1.1251242869851823,0
2021-05-13 16:00:00,1.9323,1.9509999999999998,1.8989,1.9097,16130369.0,31154406.662645,25959,7425919.94,14363799.597238,-1.1695906432748515,0
2021-05-13 16:05:00,1.9105,1.92,1.8898,1.8976,11854317.83,22578463.286544,17835,5850711.11,11145125.769565,-0.6752159120649115,0
2021-05-13 16:10:00,1.8961,1.9149,1.8961,1.9026,8457150.68,16098182.99054,12184,4969692.22,9460194.444441,0.34280892357998904,0
2021-05-13 16:15:00,1.9031,1.9249,1.9007,1.9014,5622604.83,10768396.679079,10496,2682293.23,5138223.714835,-0.08932793862645341,1
2021-05-13 16:20:00,1.9014,1.9035,1.8814,1.8980000000000001,6566359.57,12430801.762388,14092,3015225.58,5710375.1204,-0.17881560955086093,0
2021-05-13 16:25:00,1.8980000000000001,1.9053,1.8877,1.9011,3979136.76,7544275.631166,7980,1991135.32,3776285.221712,0.16332982086407286,2
2021-05-13 16:30:00,1.9009,1.92,1.9,1.9162,5181720.79,9907863.577707,9315,2751601.13,5262606.862137,0.8048818980482861,0
2021-05-13 16:35:00,1.9156,1.9371,1.9147,1.9242,4844773.54,9336026.005717,11704,2741965.6,5283207.628793,0.4489455001044028,0
2021-05-13 16:40:00,1.9242,1.9245,1.88,1.881,6977711.12,13294945.320792,13099,2564406.76,4891190.490897,-2.2450888681010244,0
2021-05-13 16:45:00,1.8807,1.8912,1.8364,1.8651,16675549.74,31039360.170701,28976,7208302.16,13416907.662742,-0.8294783857074525,0
2021-05-13 16:50:00,1.8651,1.8653,1.8386,1.8507,10614170.0,19610039.253599,15227,5274667.85,9745814.943163,-0.7720765642592874,0
2021-05-13 16:55:00,1.8507,1.8582,1.8389,1.851,8710899.49,16089214.415563,13103,4240109.98,7833793.4669699995,0.016210082671419837,0
2021-05-13 17:00:00,1.8518,1.8797,1.8387,1.8455,9504949.62,17677897.567785997,14821,4917770.09,9149418.549417999,-0.3402095258667228,1
2021-05-13 17:05:00,1.8455,1.8538,1.825,1.8401,10128832.11,18634809.820721,16838,4928315.07,9070975.104264,-0.2926036304524437,0
2021-05-13 17:10:00,1.8394,1.8538,1.8373,1.8451,8228073.53,15182343.109417,12424,4332847.36,7995996.270217,0.3098836577144742,2
2021-05-13 17:15:00,1.8451,1.8922,1.8419999999999999,1.8894,9843814.23,18459138.654643,15600,5445248.53,10211131.893903999,2.4009538778386,0
2021-05-13 17:20:00,1.8892,1.8927,1.8588,1.8659,8120554.72,15212776.819818,13516,4210207.38,7886918.648363001,-1.2333262756722474,0
2021-05-13 17:25:00,1.8661,1.8821,1.8315,1.84,10833177.17,20047449.275407,17189,5347342.43,9898330.039652001,-1.3986388725148708,0
2021-05-13 17:30:00,1.8388,1.8522,1.8123,1.8188,11004164.22,20133111.083369,19472,5136531.48,9404189.690481,-1.0876658690450305,1
2021-05-13 17:35:00,1.8182,1.8354,1.8122,1.8189,13094456.45,23856824.973410998,18746,7215639.57,13147314.842775,0.038499615003845716,0
2021-05-13 17:40:00,1.8189,1.8431,1.8169,1.8395,8987202.27,16473054.837014,12766,5236624.25,9597314.295265,1.1325526417065237,0
2021-05-13 17:45:00,1.8394,1.8632,1.8394,1.8628,8497416.9,15725510.016225,12808,4485017.0,8299634.223356,1.2721539632488903,0
2021-05-13 17:50:00,1.8627,1.8717,1.8559999999999999,1.8577,5869924.14,10939701.857779,9329,2902155.79,5409464.355324,-0.2684275514038823,0
2021-05-13 17:55:00,1.8578,1.8787,1.8508,1.8672,7229094.93,13509311.175486999,10842,3437829.42,6425284.276715,0.5059748089137729,0
2021-05-13 18:00:00,1.8672,1.9014,1.8575,1.8899,11425546.41,21535365.850351002,18463,6386538.4,12036848.956251,1.2157240788346155,2
2021-05-13 18:05:00,1.8899,1.8948,1.8719999999999999,1.8823,6406260.14,12083360.813615,10628,3157829.14,5956256.477912,-0.4021376792422789,1
2021-05-13 18:10:00,1.8823,1.91,1.8787,1.9085,5480644.92,10377427.451947,11318,3239292.5,6134918.504769,1.3919141475854009,0
2021-05-13 18:15:00,1.9091,1.9123,1.8777,1.8809,6633587.1,12572994.662414,13663,3086239.85,5848152.82097,-1.4771358231627467,0
2021-05-13 18:20:00,1.8807,1.9076,1.8796,1.9019,5279502.36,10016284.297838,9482,2738293.26,5194456.545432,1.1272398574998608,2
2021-05-13 18:25:00,1.9019,1.9229,1.9017,1.9149,8275911.11,15845614.967019001,16537,4316288.99,8266338.924977001,0.6835269993164795,0
2021-05-13 18:30:00,1.9155,1.9243,1.8901,1.8949,6035779.22,11520764.190986,12139,3001288.74,5728269.328487,-1.0754372226572673,0
2021-05-13 18:35:00,1.8949,1.9096,1.8827,1.886,5578606.75,10585051.994264,9767,2714931.59,5153042.273626001,-0.4696817774025083,0
2021-05-13 18:40:00,1.8857,1.8981,1.8563,1.8661,8154344.77,15270958.854973001,15063,4291838.4,8037837.206672,-1.0394018136500949,0
2021-05-13 18:45:00,1.8672,1.8976,1.8633,1.8836,6732082.82,12670164.052434,11589,3480482.67,6552582.133756,0.8783204798628947,0
2021-05-13 18:50:00,1.8836,1.893,1.8573,1.8651,5644441.39,10593476.267367,9582,2528708.53,4746348.360932,-0.9821618177957084,1
2021-05-13 18:55:00,1.865,1.88,1.8581,1.8641,4898287.45,9157624.150442999,8518,2282497.87,4267314.796101,-0.04825737265415018,0
2021-05-13 19:00:00,1.8635,1.893,1.8592,1.8676,5670763.36,10648850.414914,11441,2771408.61,5206353.759898,0.2200160987389317,0
2021-05-13 19:05:00,1.8675,1.8875,1.8665,1.8823,4322842.98,8109567.704062,8515,2483286.64,4658665.1120879995,0.7925033467202222,0
2021-05-13 19:10:00,1.8825,1.8888,1.875,1.8871,2752634.66,5177836.895741001,6216,1344098.28,2528897.803311,0.24435590969455176,0
2021-05-13 19:15:00,1.8875,1.8969999999999998,1.8823,1.8969999999999998,3616294.08,6831508.781257,6931,1981656.77,3744671.295648,0.503311258278149,0
2021-05-13 19:20:00,1.8967,1.9038,1.8729,1.8997,4328446.55,8177251.796928,10186,2259461.03,4271061.652752,0.15816945220645814,2
2021-05-13 19:25:00,1.8998,1.9059,1.8908,1.9009,3168980.78,6018212.34827,7483,1611099.66,3059700.982582,0.057900831666496524,0
2021-05-13 19:30:00,1.9009,1.9177,1.9,1.9127,4326934.32,8269192.714592999,11420,2127638.93,4066816.5956449998,0.6207585880372471,0
2021-05-13 19:35:00,1.9122,1.9128,1.8867,1.889,3559242.57,6761881.770073,8954,1671333.85,3176404.9114,-1.2132622110657822,0
2021-05-13 19:40:00,1.8884,1.8942,1.882,1.8897,2959244.96,5588756.03487,6237,1514846.5,2861000.2827810002,0.0688413471722017,0
